wish	7.09	5.16	5.28	24	35	53	99
alone	2.41	4.83	3.7	19	33	35	92
heart	7.39	6.34	5.49	15	16	26	68
sad	1.61	4.13	3.45	12	20	19	120
lost	2.82	5.82	2.86	10	6	28	57
bored	2.95	2.83	4.11	9	8	2	62
lonely	2.17	4.51	2.95	4	7	7	68
imagine	7.32	5.98	7.07	4	3	3	32
depression	1.85	4.54	2.91	2	1	7	55
depressed	1.83	4.72	2.74	1	12	7	98
stomach	4.82	3.93	4.68	1	1	7	22
funeral	1.39	4.94	2.97	0	0	2	11
