vacation	8.16	5.64	6.8	0.571428571	0.142857143	0.142857143	0.142857143
safe	7.07	3.86	5.81	0.285714286	0.071428571	0.357142857	0.285714286
friendly	8.43	5.11	5.92	0.533333333	0.066666667	0.066666667	0.333333333
fantasy	7.41	5.14	6.43	0.666666667	0	0.166666667	0.166666667
cat	5.72	4.38	6.16	0.363636364	0.136363636	0.181818182	0.318181818
cake	7.26	5	5.16	0.615384615	0.076923077	0.153846154	0.153846154
bake	6.17	5.1	5.49	0.615384615	0.153846154	0	0.230769231
air	6.34	4.12	5.1	0.4	0.15	0.4	0.05
seat	4.95	2.95	4.84	0.411764706	0.235294118	0.176470588	0.176470588
plain	4.39	3.52	4.71	0.333333333	0.238095238	0.095238095	0.333333333
lucky	8.17	6.53	6.05	0.24137931	0.103448276	0.344827586	0.310344828
kiss	8.26	7.32	6.93	0.388888889	0.111111111	0.166666667	0.333333333
hospital	5.04	5.98	4.69	0.225806452	0.032258065	0.387096774	0.35483871
dog	7.57	5.76	6.25	0.137254902	0.254901961	0.450980392	0.156862745
decorate	6.93	5.14	6.05	0.875	0	0	0.125
cut	3.64	5	4.7	0.120689655	0.224137931	0.172413793	0.482758621
boy	6.32	4.58	5.34	0.205882353	0.441176471	0.205882353	0.147058824
black	5.39	4.61	5.14	0.24137931	0.482758621	0.206896552	0.068965517
save	6.45	4.95	6	0.2	0.333333333	0.233333333	0.233333333
rock	5.56	4.52	5.15	0.315789474	0.368421053	0.105263158	0.210526316
respect	7.64	5.19	6.89	0.25	0.375	0.125	0.25
odd	4.82	4.27	4.77	0.272727273	0.272727273	0.045454545	0.409090909
letter	6.61	4.9	5.73	0.25	0.166666667	0.375	0.208333333
history	5.24	3.93	4.83	0.206896552	0.379310345	0.310344828	0.103448276
child	7.08	5.55	5.1	0.193548387	0.258064516	0	0.548387097
window	5.91	3.97	4.91	0.192307692	0.230769231	0.5	0.076923077
water	6.61	4.97	5.08	0.227272727	0.409090909	0.363636364	0
trust	6.68	5.3	6.61	0.1	0.28	0.38	0.24
trouble	3.03	6.85	4.85	0.208333333	0.208333333	0.458333333	0.125
mail	6.88	5.63	5.67	0.277777778	0.555555556	0	0.166666667
learn	7.15	5.39	6.34	0.151515152	0.333333333	0.272727273	0.242424242
journal	5.14	4.05	5.26	0.125	0.225	0.35	0.3
honest	7.7	5.32	6.24	0.263157895	0.210526316	0.368421053	0.157894737
glass	4.75	4.27	5	0.294117647	0	0.117647059	0.588235294
fire	3.22	7.17	4.49	0.227272727	0.045454545	0.545454545	0.181818182
father	7.08	5.92	5.63	0.119047619	0.285714286	0.238095238	0.357142857
chance	6.02	5.38	4.64	0.087719298	0.157894737	0.245614035	0.50877193
accident	2.05	6.26	3.76	0.333333333	0.066666667	0.466666667	0.133333333
war	2.08	7.49	4.5	0.266666667	0.466666667	0.2	0.066666667
treat	7.36	5.62	5.78	0.19047619	0.428571429	0.19047619	0.19047619
serious	5.08	4	5.12	0.129032258	0.225806452	0.387096774	0.258064516
quiet	5.58	2.82	4.42	0.2	0.2	0.2	0.4
power	6.54	6.67	7.28	0.222222222	0.111111111	0.555555556	0.111111111
joy	8.6	7.22	6.28	0.333333333	0	0.083333333	0.583333333
hug	8	5.35	5.79	0.210526316	0.105263158	0.210526316	0.473684211
cheer	8.1	6.12	6	0.333333333	0.166666667	0.166666667	0.333333333
broken	3.05	5.43	4.14	0.093023256	0.069767442	0.325581395	0.511627907
bathroom	5.55	3.88	5.65	0.173913043	0.260869565	0.391304348	0.173913043
young	6.89	5.64	5.3	0.166666667	0.111111111	0.388888889	0.333333333
ugly	2.43	5.38	4.26	0.15	0.35	0	0.5
lie	2.79	5.96	3.3	0.081081081	0.081081081	0.324324324	0.513513514
